vulnerability_id,reporting_time,vulnerability_description,references,CWE-ID,CWE-Name,CVSS-Score
CVE-2008-7271,01/13/2011,"Multiple cross-site scripting (XSS) vulnerabilities in the Help Contents web application (aka the Help Server) in Eclipse IDE, possibly 3.3.2, allow remote attackers to inject arbitrary web script or HTML via (1) the searchWord parameter to help/advanced/searchView.jsp or (2) the workingSet parameter in an add action to help/advanced/workingSetManager.jsp, a different issue than CVE-2010-4647.","http://r00tin.blogspot.com/2008/04/eclipse-local-web-server-exploitation.html,https://bugs.eclipse.org/bugs/show_bug.cgi?id=223539",http://cwe.mitre.org/data/definitions/79.html,Improper Neutralization of Input During Web Page Generation (&#39;Cross-site Scripting&#39;),N/A
CVE-2006-7243,01/18/2011,"PHP before 5.3.4 accepts the \0 character in a pathname, which might allow context-dependent attackers to bypass intended access restrictions by placing a safe file extension after this character, as demonstrated by .php\0.jpg at the end of the argument to the file_exists function.","http://bugs.php.net/39863,http://lists.apple.com/archives/security-announce/2011/Mar/msg00006.htmlhttp://lists.fedoraproject.org/pipermail/package-announce/2015-May/158616.html,http://lists.fedoraproject.org/pipermail/package-announce/2015-May/158915.html,http://lists.fedoraproject.org/pipermail/package-announce/2015-May/159031.html,http://marc.info/?l=bugtraq&amp;m=132871655717248&amp;w=2,http://marc.info/?l=bugtraq&amp;m=133469208622507&amp;w=2,http://openwall.com/lists/oss-security/2010/11/18/4,http://openwall.com/lists/oss-security/2010/11/18/5,http://openwall.com/lists/oss-security/2010/12/09/10,http://openwall.com/lists/oss-security/2010/12/09/11,http://openwall.com/lists/oss-security/2010/12/09/9,http://rhn.redhat.com/errata/RHSA-2013-1307.html,http://rhn.redhat.com/errata/RHSA-2013-1615.html,http://rhn.redhat.com/errata/RHSA-2014-0311.html,http://support.apple.com/kb/HT4581,http://svn.php.net/viewvc?view=revision&amp;revision=305412,http://svn.php.net/viewvc?view=revision&amp;revision=305507,http://www.madirish.net/?article=436,http://www.mandriva.com/security/advisories?name=MDVSA-2010:254,http://www.php.net/ChangeLog-5.php,http://www.php.net/archive/2010.php#id2010-12-10-1,http://www.php.net/releases/5_3_4.php,http://www.securityfocus.com/bid/44951,https://oval.cisecurity.org/repository/search/definition/oval%3Aorg.mitre.oval%3Adef%3A12569,",http://cwe.mitre.org/data/definitions/20.html,Improper Input Validation,N/A
CVE-2009-5018,01/14/2011,"Stack-based buffer overflow in gif2png.c in gif2png 2.5.3 and earlier might allow context-dependent attackers to execute arbitrary code via a long command-line argument, as demonstrated by a CGI program that launches gif2png.","http://bugs.debian.org/cgi-bin/bugreport.cgi?bug=550978,http://bugs.gentoo.org/show_bug.cgi?id=346501http://cvs.fedoraproject.org/viewvc/rpms/gif2png/devel/gif2png-overflow.patch?root=extras&amp;view=log,http://lists.fedoraproject.org/pipermail/package-announce/2010-November/051229.html,http://lists.grok.org.uk/pipermail/full-disclosure/2009-December/072009.html,http://openwall.com/lists/oss-security/2010/11/21/1,http://openwall.com/lists/oss-security/2010/11/22/1,http://openwall.com/lists/oss-security/2010/11/22/12,http://openwall.com/lists/oss-security/2010/11/22/3,http://security.gentoo.org/glsa/glsa-201101-01.xml,http://www.mandriva.com/security/advisories?name=MDVSA-2011:009,http://www.securityfocus.com/bid/41801,http://www.vupen.com/english/advisories/2010/3036,http://www.vupen.com/english/advisories/2011/0023,http://www.vupen.com/english/advisories/2011/0107,https://bugzilla.redhat.com/show_bug.cgi?id=547515,https://exchange.xforce.ibmcloud.com/vulnerabilities/64820,",http://cwe.mitre.org/data/definitions/119.html,Improper Restriction of Operations within the Bounds of a Memory Buffer,N/A
CVE-2009-5037,01/07/2011,"Cisco Adaptive Security Appliances (ASA) 5500 series devices with software before 8.2(3) allow remote attackers to cause a denial of service (ASDM syslog outage) via a long URL, aka Bug IDs CSCsm11264 and CSCtb92911.","http://www.cisco.com/en/US/docs/security/asa/asa82/release/notes/asarn82.pdf,http://www.securitytracker.com/id?1024963https://exchange.xforce.ibmcloud.com/vulnerabilities/64732,https://supportforums.cisco.com/thread/2018112,https://supportforums.cisco.com/thread/238724,",http://cwe.mitre.org/data/definitions/399.html,Resource Management Errors,N/A
CVE-2009-5038,01/07/2011,"Cisco IOS before 15.0(1)XA does not properly handle IRC traffic during a specific time period after an initial reload, which allows remote attackers to cause a denial of service (device reload) via an attempted connection to a certain IRC server, related to a &quot;corrupted magic value,&quot; aka Bug ID CSCso05336.","http://www.cisco.com/en/US/docs/ios/15_0/15_0x/15_01_XA/rn800xa.pdf,http://www.securityfocus.com/bid/45764https://exchange.xforce.ibmcloud.com/vulnerabilities/64682,",http://cwe.mitre.org/data/definitions/20.html,Improper Input Validation,N/A
CVE-2009-5039,01/07/2011,"Memory leak in the gk_circuit_info_do_in_acf function in the H.323 implementation in Cisco IOS before 15.0(1)XA allows remote attackers to cause a denial of service (memory consumption) via a large number of calls over a long duration, as demonstrated by InterZone Clear Token (IZCT) test traffic, aka Bug ID CSCsz72535.","http://www.cisco.com/en/US/docs/ios/15_0/15_0x/15_01_XA/rn800xa.pdf,https://exchange.xforce.ibmcloud.com/vulnerabilities/64731",http://cwe.mitre.org/data/definitions/772.html,Missing Release of Resource after Effective Lifetime,N/A
CVE-2009-5040,01/07/2011,"CallManager Express (CME) on Cisco IOS before 15.0(1)XA allows remote authenticated users to cause a denial of service (device crash) by using an extension mobility (EM) phone to interact with the menu for SNR number changes, aka Bug ID CSCta63555.","http://www.cisco.com/en/US/docs/ios/15_0/15_0x/15_01_XA/rn800xa.pdf,http://www.securityfocus.com/bid/45765https://exchange.xforce.ibmcloud.com/vulnerabilities/64681,",http://cwe.mitre.org/data/definitions/399.html,Resource Management Errors,N/A
CVE-2009-5051,01/18/2011,"Hastymail2 before RC 8 does not set the secure flag for the session cookie in an https session, which makes it easier for remote attackers to capture this cookie by intercepting its transmission within an http session.","http://www.hastymail.org/security/,https://exchange.xforce.ibmcloud.com/vulnerabilities/64891",http://cwe.mitre.org/data/definitions/16.html,Configuration,N/A
CVE-2010-0110,01/31/2011,"Multiple stack-based buffer overflows in Intel Alert Management System (aka AMS or AMS2), as used in Symantec AntiVirus Corporate Edition (SAVCE) 10.x before 10.1 MR10, Symantec System Center (SSC) 10.x, and Symantec Quarantine Server 3.5 and 3.6, allow remote attackers to execute arbitrary code via (1) a long string to msgsys.exe, related to the AMSSendAlertAct function in AMSLIB.dll in the Intel Alert Handler service (aka Symantec Intel Handler service); a long (2) modem string or (3) PIN number to msgsys.exe, related to pagehndl.dll in the Intel Alert Handler service; or (4) a message to msgsys.exe, related to iao.exe in the Intel Alert Originator service.","http://securitytracker.com/id?1024996,http://www.securityfocus.com/bid/45936http://www.symantec.com/security_response/securityupdates/detail.jsp?fid=security_advisory&amp;pvid=security_advisory&amp;year=2011&amp;suid=20110126_00,http://www.vupen.com/english/advisories/2011/0234,http://www.zerodayinitiative.com/advisories/ZDI-11-028,http://www.zerodayinitiative.com/advisories/ZDI-11-030,http://www.zerodayinitiative.com/advisories/ZDI-11-031,http://www.zerodayinitiative.com/advisories/ZDI-11-032,https://exchange.xforce.ibmcloud.com/vulnerabilities/64940,",http://cwe.mitre.org/data/definitions/119.html,Improper Restriction of Operations within the Bounds of a Memory Buffer,N/A
CVE-2010-0111,01/31/2011,"HDNLRSVC.EXE in the Intel Alert Handler service (aka Symantec Intel Handler service) in Intel Alert Management System (aka AMS or AMS2), as used in Symantec AntiVirus Corporate Edition (SAVCE) 10.x before 10.1 MR10, Symantec System Center (SSC) 10.x, and Symantec Quarantine Server 3.5 and 3.6, allows remote attackers to execute arbitrary programs by sending msgsys.exe a UNC share pathname, which is used directly in a CreateProcessA (aka CreateProcess) call.","http://securitytracker.com/id?1024997,http://www.securityfocus.com/bid/45935http://www.symantec.com/security_response/securityupdates/detail.jsp?fid=security_advisory&amp;pvid=security_advisory&amp;year=2011&amp;suid=20110126_01,http://www.vupen.com/english/advisories/2011/0234,http://www.zerodayinitiative.com/advisories/ZDI-11-029,https://exchange.xforce.ibmcloud.com/vulnerabilities/64942,https://exchange.xforce.ibmcloud.com/vulnerabilities/64943,",http://cwe.mitre.org/data/definitions/20.html,Improper Input Validation,N/A
